Power dependence  experiment 

Parameters:
Wavelength [nm]: 852.000000
Integration time [ms]: 100.000000
Threshold [V]: -0.200000
Beam diameter [um]: 1.100000

Power [mW] 	Power density [W/cm^2] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (2Ch) [cps] 
29.179970	3070503.290722	10040030.000000	100400300.000000	9990305.000000	99903050.000000
29.844560	3140435.761483	10651775.000000	106517750.000000	10555300.000000	105553000.000000
30.624950	3222553.378213	11183790.000000	111837900.000000	11190165.000000	111901650.000000
31.345388	3298362.412913	11762725.000000	117627250.000000	11730340.000000	117303400.000000
32.198510	3388133.391216	12470095.000000	124700950.000000	12407535.000000	124075350.000000
33.004790	3472975.348980	13025995.000000	130259950.000000	13018430.000000	130184300.000000
33.910231	3568251.667601	13709225.000000	137092250.000000	13741865.000000	137418650.000000
34.794554	3661305.841120	14381150.000000	143811500.000000	14509585.000000	145095850.000000
35.720907	3758782.625067	15305525.000000	153055250.000000	15382620.000000	153826200.000000
36.843965	3876957.993555	16316515.000000	163165150.000000	16497905.000000	164979050.000000
37.641074	3960834.865984	17163030.000000	171630300.000000	17303620.000000	173036200.000000
38.536473	4055054.477160	18023570.000000	180235700.000000	18192804.000000	181928040.000000
39.490007	4155391.450749	18817896.000000	188178960.000000	19016200.000000	190162000.000000
40.437264	4255067.878193	19747370.000000	197473700.000000	20001690.000000	200016900.000000
41.344373	4350519.726953	20589976.000000	205899760.000000	20875150.000000	208751500.000000
42.227645	4443463.237139	21650944.000000	216509440.000000	21897530.000000	218975300.000000
43.159434	4541512.012094	22500690.000000	225006900.000000	22873840.000000	228738400.000000
44.189915	4649945.869700	23557070.000000	235570700.000000	24087216.000000	240872160.000000
45.192794	4755475.181594	24440984.000000	244409840.000000	25074576.000000	250745760.000000
46.203205	4861797.147780	25455800.000000	254558000.000000	26108516.000000	261085160.000000
47.377556	4985369.896954	26536320.000000	265363200.000000	27272420.000000	272724200.000000
48.517193	5105289.711963	27656536.000000	276565360.000000	28349710.000000	283497100.000000
49.613335	5220632.887882	28665484.000000	286654840.000000	29615190.000000	296151900.000000
50.681460	5333027.739501	29769804.000000	297698040.000000	30762860.000000	307628600.000000
51.824442	5453299.629352	31003410.000000	310034100.000000	32186016.000000	321860160.000000
53.078254	5585233.841566	32400896.000000	324008960.000000	33811044.000000	338110440.000000
54.376812	5721876.414825	33897404.000000	338974040.000000	35396804.000000	353968040.000000
55.724305	5863668.249802	35634296.000000	356342960.000000	37269440.000000	372694400.000000
56.958875	5993577.644131	36812904.000000	368129040.000000	38695740.000000	386957400.000000
58.366174	6141662.632611	38229432.000000	382294320.000000	40325956.000000	403259560.000000
59.734156	6285610.420923	39718544.000000	397185440.000000	42036580.000000	420365800.000000
61.132668	6432770.791336	41354284.000000	413542840.000000	43939728.000000	439397280.000000
62.508182	6577511.246573	42838384.000000	428383840.000000	45796044.000000	457960440.000000
63.875746	6721415.111928	44373824.000000	443738240.000000	47377044.000000	473770440.000000
65.297678	6871039.903370	45926688.000000	459266880.000000	49186696.000000	491866960.000000
66.651444	7013491.746712	47671656.000000	476716560.000000	51275232.000000	512752320.000000
68.029884	7158540.036218	49084864.000000	490848640.000000	52962056.000000	529620560.000000
69.269474	7288977.693496	50495356.000000	504953560.000000	54607316.000000	546073160.000000
70.465575	7414839.056370	51716720.000000	517167200.000000	56165280.000000	561652800.000000
71.547495	7528685.671938	53155856.000000	531558560.000000	57817000.000000	578170000.000000
72.585089	7637867.952286	54315084.000000	543150840.000000	59306368.000000	593063680.000000
73.615154	7746257.987993	55729400.000000	557294000.000000	61047680.000000	610476800.000000
74.664457	7856672.309220	56808476.000000	568084760.000000	62294036.000000	622940360.000000
75.654374	7960837.688644	58151392.000000	581513920.000000	64191152.000000	641911520.000000
76.502516	8050084.625033	59189072.000000	591890720.000000	65485528.000000	654855280.000000
77.314274	8135502.994975	60356204.000000	603562040.000000	66600816.000000	666008160.000000
78.200472	8228754.465752	61376376.000000	613763760.000000	68167280.000000	681672800.000000
78.857906	8297933.894092	62062072.000000	620620720.000000	68952592.000000	689525920.000000
79.663807	8382735.925979	63166220.000000	631662200.000000	70395216.000000	703952160.000000
80.337135	8453587.792380	63946096.000000	639460960.000000	71419296.000000	714192960.000000
80.849031	8507452.821391	64701236.000000	647012360.000000	72135248.000000	721352480.000000
81.222498	8546751.408218	64962780.000000	649627800.000000	72550048.000000	725500480.000000
81.500194	8575972.342425	65247700.000000	652477000.000000	73004800.000000	730048000.000000
81.626913	8589306.527173	65385060.000000	653850600.000000	73099488.000000	730994880.000000
81.701355	8597139.833737	65527860.000000	655278600.000000	73154736.000000	731547360.000000
81.649916	8591727.072165	65414556.000000	654145560.000000	73283936.000000	732839360.000000
81.780817	8605501.345502	65492672.000000	654926720.000000	73205656.000000	732056560.000000
81.842294	8611970.313554	65362960.000000	653629600.000000	73049592.000000	730495920.000000
81.859023	8613730.658890	65492500.000000	654925000.000000	73241528.000000	732415280.000000
81.910463	8619143.463773	65542648.000000	655426480.000000	73252912.000000	732529120.000000
81.873241	8615226.766277	65603084.000000	656030840.000000	73342168.000000	733421680.000000
81.982815	8626756.785595	65544180.000000	655441800.000000	73318624.000000	733186240.000000
82.021289	8630805.338588	65714944.000000	657149440.000000	73545992.000000	735459920.000000
81.997452	8628297.009037	65849924.000000	658499240.000000	73600392.000000	736003920.000000
81.956466	8623984.261406	65622976.000000	656229760.000000	73499328.000000	734993280.000000
81.961068	8624468.437176	65598240.000000	655982400.000000	73479776.000000	734797760.000000
81.981977	8626668.623867	65559736.000000	655597360.000000	73363752.000000	733637520.000000
