TCSPC experiment 

Parameters:
Wavelength [nm]: 852.000000
Exposure time [s]: 100.000000
Threshold [V]: -0.200000
Beam power [mW]: 4.351101
Beam power density [W/cm^2]: 457850.687500
Beam diameter [um]: 1.100000

Time [s] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (1Ch) [cps] 
0.074300	0.000000	0.000000	0.000000	0.000000
0.074350	1.000000	0.000200	1.000000	0.000200
0.074400	0.000000	0.000000	0.000000	0.000000
0.074450	1.000000	0.000200	0.000000	0.000000
0.074500	0.000000	0.000000	0.000000	0.000000
0.074550	0.000000	0.000000	0.000000	0.000000
0.074600	0.000000	0.000000	0.000000	0.000000
0.074650	1.000000	0.000200	0.000000	0.000000
0.074700	1.000000	0.000200	0.000000	0.000000
0.074750	0.000000	0.000000	0.000000	0.000000
0.074800	1.000000	0.000200	0.000000	0.000000
0.074850	1.000000	0.000200	0.000000	0.000000
0.074900	1.000000	0.000200	0.000000	0.000000
0.074950	1.000000	0.000200	0.000000	0.000000
0.075000	0.000000	0.000000	1.000000	0.000200
0.075050	2.000000	0.000400	0.000000	0.000000
0.075100	0.000000	0.000000	0.000000	0.000000
0.075150	1.000000	0.000200	0.000000	0.000000
0.075200	1.000000	0.000200	0.000000	0.000000
0.075250	1.000000	0.000200	0.000000	0.000000
0.075300	1.000000	0.000200	0.000000	0.000000
0.075350	1.000000	0.000200	0.000000	0.000000
0.075400	2.000000	0.000400	2.000000	0.000400
0.075450	1.000000	0.000200	0.000000	0.000000
0.075500	1.000000	0.000200	0.000000	0.000000
0.075550	1.000000	0.000200	0.000000	0.000000
0.075600	0.000000	0.000000	0.000000	0.000000
0.075650	0.000000	0.000000	1.000000	0.000200
0.075700	0.000000	0.000000	0.000000	0.000000
0.075750	0.000000	0.000000	0.000000	0.000000
0.075800	0.000000	0.000000	0.000000	0.000000
0.075850	0.000000	0.000000	1.000000	0.000200
0.075900	0.000000	0.000000	0.000000	0.000000
0.075950	2.000000	0.000400	0.000000	0.000000
0.076000	0.000000	0.000000	0.000000	0.000000
0.076050	0.000000	0.000000	0.000000	0.000000
0.076100	1.000000	0.000200	0.000000	0.000000
0.076150	0.000000	0.000000	0.000000	0.000000
0.076200	0.000000	0.000000	0.000000	0.000000
0.076250	2.000000	0.000400	0.000000	0.000000
0.076300	3.000000	0.000600	0.000000	0.000000
0.076350	1.000000	0.000200	0.000000	0.000000
0.076400	0.000000	0.000000	0.000000	0.000000
0.076450	1.000000	0.000200	0.000000	0.000000
0.076500	1.000000	0.000200	0.000000	0.000000
0.076550	0.000000	0.000000	1.000000	0.000200
0.076600	0.000000	0.000000	0.000000	0.000000
0.076650	0.000000	0.000000	1.000000	0.000200
0.076700	0.000000	0.000000	1.000000	0.000200
0.076750	1.000000	0.000200	0.000000	0.000000
0.076800	1.000000	0.000200	0.000000	0.000000
0.076850	1.000000	0.000200	0.000000	0.000000
0.076900	0.000000	0.000000	0.000000	0.000000
0.076950	1.000000	0.000200	0.000000	0.000000
0.077000	2.000000	0.000400	0.000000	0.000000
0.077050	1.000000	0.000200	0.000000	0.000000
0.077100	0.000000	0.000000	0.000000	0.000000
0.077150	2.000000	0.000400	0.000000	0.000000
0.077200	2.000000	0.000400	1.000000	0.000200
0.077250	2.000000	0.000400	0.000000	0.000000
0.077300	2.000000	0.000400	0.000000	0.000000
0.077350	1.000000	0.000200	1.000000	0.000200
